A & R Construction,Arthur, IL 61911,217-543-4049,,Category:,Contractors General
A & R Construction,Arthur, IL 61911,217-543-4045,,Category:,Contractors General
Concrete Technology Inc,Arthur, IL 61911,217-543-2636,,Category:,Concrete Restoration
Conlin Painting,16730 N County Road 000e,Arthur, IL 61911,217-543-3053,,Category:,Painting Contractors
Conner Day Care,612 S Spruce St,Arthur, IL 61911,217-543-3033,,Category:,Child Care Services
Cornwell Grain Equipment,420 N Hickory St,Arthur, IL 61911,217-543-2631,,Category:,Farm Equipment Dealers &Amp; Supplies
Cottontail Fabrics,1955 Cr 1700e,Arthur, IL 61911,217-543-2800,,Category:,Fabric Shops
Country Cheese & More,205 S Vine St,Arthur, IL 61911,217-543-3544,,Category:,Cheese Retail
Country Inns & Suites,785 E Columbia St,Arthur, IL 61911,217-543-3321,,Category:,Hotels &Amp; Motels
Country Shoe Shop,2068 Cr 1800e,Arthur, IL 61911,217-543-2082,,Category:,Shoes Retail
Country Stairways,189 E Cr 100 N,Arthur, IL 61911,217-543-3363,,Category:,Stair Builders


Countryside Amish Furniture,1025 Moses Ct,Arthur, IL 61911,217-543-2950,,Category:,Furniture Dealers
Countryside Barns Inc,150 E Cr 200 N,Arthur, IL 61911,217-254-2575,,Category:,Portable Buildings
Countryside Woodworking,550 N Cr 240 E,Arthur, IL 61911,217-543-4190,,Category:,Woodwork
Countryside Woodworking,Arthur, IL 61911,217-543-4190,,Category:,Woodwork
Creative Stone Spec,1515 Cr 1675e,Arthur, IL 61911,217-259-4862,,Category:,Concrete Products Retail
Creative Stone Specialists,1515 Cr 1675e,Arthur, IL 61911,217-259-4862,,Category:,Concrete Restoration
Creative Wood Products,Arthur, IL 61911,217-543-4043,,Category:,Woodwork
Crist Termite and Pest Solutions, Inc.,207 N Oak St,Arthur, IL 61911,217-543-2890,,Category:,Pest Control Services
Crist Termite & Pest Solutions Inc,Arthur, IL 61911,877-543-2890,,Category:,Pest Control Services
Custom Screen Printing,111 N Vine St,Arthur, IL 61911,217-543-3657,,Category:,Screen Printing
D G Woodprocessing,120 E Cr 200 N,Arthur, IL 61911,217-543-2128,,Category:,Firewood
D & L Upholstery,1723A State Highway 133,Arthur, IL 61911,217-543-3261,,Category:,Upholsters
D & L Upholstery,1723 State Highway 133,Arthur, IL 61911,217-543-3261,,Category:,Upholsters
D & L Upholstery,1723B State Highway 133,Arthur, IL 61911,217-543-3261,,Category:,Upholstery
Daily Farms Inc,306 E Park St,Arthur, IL 61911,217-543-2068,,Category:,Fruit &Amp; Vegetable Growers &Amp; Shippers
Daily Ronald Welding,318 E Lincoln St,Arthur, IL 61911,217-543-3001,,Category:,Welding
Darrell A Woolum Atty,131 S Vine St,Ste B,Arthur, IL 61911,217-543-3403,,Category:,Attorneys
Das Huber Haus,1774 Cr 1900n,Arthur, IL 61911,217-543-3366
Das Schlacht Haus LLC,1758 Cr 1900n,Arthur, IL 61911,217-543-5178,,Category:,Meat Processing
Dava's Nest,139 S Vine St,Arthur, IL 61911,217-543-3930,,Category:,Resale Shops
Dejavu Boutique,1065 E Columbia St,Arthur, IL 61911,217-543-2904,,Category:,Resale Shops
Delberts Clothing Store,123 S Vine St,Arthur, IL 61911,217-543-2322,,Category:,Mens Clothing &Amp; Furnishings Retail
Demolition Plus,203 Chaise Ln,Arthur, IL 61911,217-543-2035,,Category:,Demolition Consultants
Demolition Plus,125 N Walnut St,Arthur, IL 61911,217-543-2035,,Category:,Demolition Consultants
Dennis Schrock Certified,233 S Vine St,Arthur, IL 61911,217-246-8796,,Category:,Nutritionists
Designer Bernedoodles,1473 Cr 1675e,Arthur, IL 61911,217-460-1313
Dick's Pharmacy,118 S Vine St,Arthur, IL 61911,217-543-2913,,Category:,Pharmacies
Diener Hardwood Floors,1686 Co Rd 2200n,Arthur, IL 61911,217-543-2484,,Category:,Flooring &Amp; Floor Covering Contractors
Dollar General,825 E Columbia St,Arthur, IL 61911,217-543-4003,,Category:,Groceries
Douglas Kounty Kreative Ktchns,750 N Cr 250 E,Arthur, IL 61911,217-268-5056,,Category:,Cabinet Makers
Dutch Valley Meats,376 E Sr 133,Arthur, IL 61911,217-543-3354,,Category:,Meat Dealers Retail
E M Farm,172 Po Box,Arthur, IL 61911,217-543-3920,,Category:,Fruit &Amp; Vegetable Growers &Amp; Shippers
E-Z Trail Inc,1050 E Columbia St,Arthur, IL 61911,217-543-3471,,Category:,Farm Equipment Dealers &Amp; Supplies
E-Z Trail Inc,133 E Illinois St,Arthur, IL 61911,217-543-3471,,Category:,Agricultural Equipment &Amp; Supplies
E-Z Trail Inc,402 E Progress St,Arthur, IL 61911,217-543-2583,,Category:,Farm Equipment Dealers &Amp; Supplies
Earl Millers Lawn Service,103 Yantis St,Arthur, IL 61911,217-273-6051,,Category:,Lawn &Amp; Grounds Maintenance
Earl Miller's Lawn Service,1550 Cr 1900n,Arthur, IL 61911,217-273-6051,,Category:,Lawn &Amp; Grounds Maintenance
Eberhardt Village,431 W Palmer St,Arthur, IL 61911,217-543-3705,,Category:,Retirement &Amp; Life Care Communities &Amp; Homes
Echo Printers,2060 Cr 1700e,Arthur, IL 61911,217-543-3409,,Category:,Caterers
Effingham Equity,Arthur, IL 61911,217-543-3467,,Category:,Business Services
Elder Michael G,426 N Vine St,Arthur, IL 61911,217-543-2118,,Category:,Chiropractors
EMC Outdoor Furnishings,441 E Cr 400 N,Arthur, IL 61911,217-543-2894,,Category:,Gazebos
F D Miller Feed Co,13 E Cr 250 N,Arthur, IL 61911,217-543-2346,,Category:,Feed Dealers
Family Health Foods,24 E Cr 300 N,Arthur, IL 61911,217-543-3189,,Category:,Health &Amp; Diet Food Products Retail
Family Health Foods,2004 Cr 1800e,Arthur, IL 61911,217-543-3588,,Category:,Physicians - General
Family Health Foods,2008 Cr 1800e,Arthur, IL 61911,217-543-3588,,Category:,Kitchen Cabinets &Amp; Accessories
Family Medicine,525 N Vine St,Ste C,Arthur, IL 61911,217-543-4030,,Category:,Physicians Md &Amp; Do
Farm Pride,1201 N Vine St,Arthur, IL 61911,217-543-2116,,Category:,Tractor Dealers
Finishworks LLC,806 E Mill St,Arthur, IL 61911,217-543-3200,,Category:,Woodworking Equipment &Amp; Supplies
First Baptist Church,225 S Hickory St,Arthur, IL 61911,217-543-2767,,Category:,Clergy
First Baptist Church Of Arthur,120 E Park St,Arthur, IL 61911,217-543-2592,,Category:,Churches
First National Bank,120 W Progress St,Arthur, IL 61911,217-543-3850,,Category:,Banking Services
First National Bank,201 S Vine St,Arthur, IL 61911,217-543-3381,,Category:,Savings &Amp; Loans Associations
Fit4life Independent Team Beachbody,830 E Columbia St,Arthur, IL 61911,217-259-5551,,Category:,Sport Clubs &Amp; Associations
Four Acre Wood Products,553 N Cr 240 E,Arthur, IL 61911,217-543-2971,,Category:,Woodwork
Frontier Manufacturing, LLC,329 E Sr 133,Arthur, IL 61911,217-543-2485,,Category:,Welding
Furniture Plus,2062 Cr 1800e,Arthur, IL 61911,217-543-4093,,Category:,Furniture Dealers
Furniture Plus,2076 Cr 1800e,Arthur, IL 61911,217-543-4093,,Category:,Furniture Dealers
G R Mast Concrete Inc,806 E Mill St,Arthur, IL 61911,217-543-3721,,Category:,Concrete Contractors
Gasland Arthur,209 N Vine St,Arthur, IL 61911,217-543-2523,,Category:,Gasoline Stations
Gilbert Ghearing MD,211 S Walnut St,Arthur, IL 61911,217-543-3444,,Category:,Physicians Md &Amp; Do
Gingerich Custom Woodworking,Arthur, IL 61911,217-578-3491,,Category:,Woodwork
Gingerich Farms,1688 Cr 2400n,Arthur, IL 61911,217-543-2499,,Category:,Farms
Gingerich Farms,2283 Cr 1500e,Arthur, IL 61911,217-543-2499,,Category:,Farms
Graber's Custom Woodworking LLC,129 E Cr 50 N,Arthur, IL 61911,217-543-3155,,Category:,Contractors - Carpentry
Grace Design Studio,1065 E Columbia St,Arthur, IL 61911,217-543-2277
Graham Veterinary Clinic,309 S Vine St,Arthur, IL 61911,217-928-0011,,Category:,Veterinary Clinics &Amp; Hospitals
Great Plains Gas,107 S Vine St,Arthur, IL 61911,217-543-2726,,Category:,Services Stations
Great Pumpkin Patch,1749A Cr 1900n,Arthur, IL 61911,217-543-2394
Green Wave Lawn Care,214 S Poplar St,Arthur, IL 61911,217-543-2819,,Category:,Lawn Services
Guy E Williams Atty,131 S Vine St,Ste B,Arthur, IL 61911,217-543-3403,,Category:,Attorneys
H & H Transportation,208 E 4th St,Arthur, IL 61911,217-543-2276,,Category:,Trucking General
H&R Block,315 S Vine St,Ste 1,Arthur, IL 61911,217-543-2161,,Category:,Tax Return Preparation &Amp; Filing
Hammond United Methodist Church,204 E 3rd St,Arthur, IL 61911,217-262-3386,,Category:,Churches Methodist
Heartland Machine & Supply LLC,337 E Sr 133,Arthur, IL 61911,217-543-2678,,Category:,Welding
Heidi Grooms, DVM,309 S Vine St,Arthur, IL 61911,217-543-2613,,Category:,Veterinary Clinics &Amp; Hospitals
Helmuth Custom Fencing,50 E Cr 250 N,Arthur, IL 61911,217-543-2236,,Category:,Fencing
Helmuth Custom Kitchens LLC,2004 Cr 1800e,Arthur, IL 61911,217-543-3588,,Category:,Kitchen Cabinets &Amp; Accessories
Helmuth Garage Door Co,214 S Vine St,Arthur, IL 61911,217-543-2514,,Category:,Construction Supplies &Amp; Services
Helmuth's Dairy,2074 Jonathan Creek Rd,Arthur, IL 61911,217-543-3685,,Category:,Dairies
Heritage Coatings Inc,2272 Cr 1800e,Arthur, IL 61911,217-543-3696,,Category:,Truck Repair &Amp; Service
Herschberger Custom Fence,1557 State Highway 133,Arthur, IL 61911,217-543-3256,,Category:,Fence Contractors
Herschberger Wood Working,145 E Cr 300 N,Arthur, IL 61911,217-543-4075,,Category:,Woodwork
Hicksgas Soft Water,107 S Vine St,Arthur, IL 61911,217-543-2741,,Category:,Water Softening &Amp; Conditioning Equipment Service &Amp; Supplies
Hicksgas Soft Water,107 S Vine St,Arthur, IL 61911,800-719-4093,,Category:,Water Softening &Amp; Conditioning Equipment Service &Amp; Supplies
Hicksgas Soft Water,107 S Vine St,Arthur, IL 61911,217-294-6409,,Category:,Water Softening &Amp; Conditioning Equipment Service &Amp; Supplies
Homestead Bakery,1749B Cr 1900n,Arthur, IL 61911,217-543-3700,,Category:,Bakers
Hostetler Harness Shop,2075 Cr 1600e,Arthur, IL 61911,217-543-3537,,Category:,Horse Tack &Amp; Supplies
Hostetler Neil,130 E Cr 200 N,Arthur, IL 61911,217-543-2217
Illini Portable Buildings,117 E 2nd St,Arthur, IL 61911,217-273-5510,,Category:,Portable Buildings
It'll DO Arthur Inc,113 E Progress St,Arthur, IL 61911,217-543-2231,,Category:,Restaurants
Ivan & Sons Woodworking,1716 Cr 2000n,Arthur, IL 61911,217-543-5175,,Category:,Woodwork
J L G Construction Co,423 E Cr 370 N,Arthur, IL 61911,217-543-3598,,Category:,Homes Built
J R Repair Service,820 E Mill St,Arthur, IL 61911,217-543-2992,,Category:,Truck Repair &Amp; Service
J & R's Stump Lawn & Garden,1950 Cr 1600e,Arthur, IL 61911,217-543-3461,,Category:,Lawn &Amp; Grounds Maintenance
Jace Enterprises,352 N Cr 410 E,Arthur, IL 61911,217-543-3157,,Category:,Truck Caps Shells &Amp; Toppers
James E Winfield DMD,318 S Ash St,Arthur, IL 61911,217-543-3415,,Category:,Dentists
Jd Builders,75 E Cr 100 N,Arthur, IL 61911,217-273-5252,,Category:,Roofing Contractors
Jd Builders,Arthur, IL 61911,217-543-5110,,Category:,Contractors General
Johnson's Tax & Acctg Service,112 E Illinois St,Arthur, IL 61911,217-543-2398,,Category:,Accountants Certified Public


Jo's Country Diner,426 E Sr 133,Arthur, IL 61911,217-543-2457,,Category:,Restaurants Diners
Judy Hohman Pac,211 S Walnut St,Arthur, IL 61911,217-543-3444,,Category:,Physicians &Amp; Surgeons Md
K 6 Sports,511 W 3rd St,Arthur, IL 61911,217-543-2131,,Category:,Sporting Goods Sales &Amp; Rental
Kate's Kar Sales,1616 State Highway 133,Arthur, IL 61911,217-543-5162,,Category:,Recreational Vehicles &Amp; Campers Dealers
Kate's Kars,1627 State Highway 133,Arthur, IL 61911,217-543-5162
Kauffman Wallbeds & More LLC,110 E Cr 600 N,Arthur, IL 61911,217-259-0235
Kaufman Woodworking,29 E Cr 100 N,Arthur, IL 61911,217-543-3607,,Category:,Woodwork
Keith W Casteel Atty,131 S Vine St,Ste B,Arthur, IL 61911,217-543-3403,,Category:,Attorneys
Kenneth Brown MD,525 N Vine St,Ste C,Arthur, IL 61911,217-543-4030,,Category:,Physicians &Amp; Surgeons Md Family &Amp; General Practice
Kenrose Kitchen Kabinets,358 E Cr 300 N,Arthur, IL 61911,217-543-3595,,Category:,Kitchen Cabinets &Amp; Accessories
Kevin J Huffman CPA,210 Taylor Ln,Arthur, IL 61911,217-543-3644,,Category:,Accountants Certified Public
Kevin J Huffman CPA,131 S Vine St,Ste A,Arthur, IL 61911,217-543-2184,,Category:,Accountants Certified Public
Kevmar Manufacturing,188 E Cr 600 N,Arthur, IL 61911,217-543-2828,,Category:,Metal Roll &Amp; Form
Kiranpreet Multani DO,525 N Vine St,Ste C,Arthur, IL 61911,217-543-4030,,Category:,Physicians Md &Amp; Do
Kitchen Seed Co Inc,286 N Vine St,Arthur, IL 61911,217-543-3476,,Category:,Farm Equipment Dealers &Amp; Supplies
Kristen & Co,122 S Vine St,Arthur, IL 61911,217-543-2868,,Category:,Beauty Salons
Kuhn's Equipment Co,1000 E Columbia St,Arthur, IL 61911,217-543-2154,,Category:,Contractor Equipment &Amp; Supplies Dealers
La Cascada Mexican Grill,1063 E Columbia St,Arthur, IL 61911,217-543-3131,,Category:,Restaurants
Lake Fork Woodworking,176 E Cr 700 N,Arthur, IL 61911,217-578-2778,,Category:,Woodwork
Landis Sales & Service,115 E Cr 500 N,Arthur, IL 61911,217-543-3464,,Category:,Sewing Machine Repair &Amp; Service
Lavern Miller Construction,Arthur, IL 61911,217-273-1465,,Category:,Home Builders
Lawn Keeper Landscaping & Lawn Care,Arthur, IL 61911,217-543-3003,,Category:,Retaining Walls
Leco Construction,17526 N County Road 100e,Arthur, IL 61911,217-962-0320,,Category:,Contractors General
Lee's Services,317 E Lincoln St,Arthur, IL 61911,217-543-3616,,Category:,Contractors General
Legacy Land,900 E Columbia St,Arthur, IL 61911,217-543-2507
Lester Hostetler,160 E Cr 600 N,Arthur, IL 61911,217-273-9604,,Category:,Trucking General
Lh Farms,514 W Progress St,Arthur, IL 61911,217-543-2555,,Category:,Farms
Little Creek Woodworking,1473 Cr 1675e,Arthur, IL 61911,217-543-2815,,Category:,Office Furniture &Amp; Equipment Dealers
M & E Wood Crafts,1533 Cr 1900n,Arthur, IL 61911,217-543-2193,,Category:,Woodwork
Mama B's Pizzeria,508 N Vine St,Arthur, IL 61911,217-543-3531,,Category:,Restaurants Pizza
Maple Lane Metals,422 E Cr 370 N,Arthur, IL 61911,217-543-3680,,Category:,Sheet Metal Specialties
Marsha's Vineyard,212 Chaise Ln,Arthur, IL 61911,217-543-4001,,Category:,Hotels Motels Bed &Amp; Breakfast
Marten Portable Buildings,Arthur, IL 61911,217-543-3101,,Category:,Portable Buildings
Marvin S Miller Cabinet Shop,2225 Cr 1600e,Arthur, IL 61911,217-543-2239,,Category:,Cabinet Makers
Marx Veterinary Service,210 E Progress St,Arthur, IL 61911,217-543-3864,,Category:,Veterinary Clinics &Amp; Hospitals
Masterbrand Cabinets Inc,217 S Oak St,Arthur, IL 61911,217-543-3311,,Category:,Furniture Custom Made
Mcguire Yuhas Huffman & Buckley Cpa's,131 S Vine St,Ste A,Arthur, IL 61911,217-543-2184,,Category:,Accountants Certified Public
Melvin's Woodworking,120 E Cr 100 N,Arthur, IL 61911,217-543-3583,,Category:,Wood Products
Merv's Electrical,107 N Elm St,Arthur, IL 61911,217-543-3009,,Category:,Contractors Electric
Mi Tierrita,1063 E Columbia St,Arthur, IL 61911,217-543-2256
Michael G Elder DC,426 N Vine St,Arthur, IL 61911,217-543-2118,,Category:,Chiropractors
Mid-State Propane,2324 Cr 1800e,Arthur, IL 61911,217-543-2590,,Category:,Propane Gas Sales
Midstate Lamp LLC,169 E Cr 200 N,Arthur, IL 61911,217-543-3095,,Category:,Lamps &Amp; Lamp Shades Retail
Midstate Machine,169 E Cr 200 N,Arthur, IL 61911,217-543-3065,,Category:,Automotive Machine &Amp; Shop Service
Midstate Machine,519 N Cr 240 E,Arthur, IL 61911,217-543-5200,,Category:,Welding
Midstate Saw & Tool,106 Peace Rd,Arthur, IL 61911,217-543-3351,,Category:,Sharpening Service
Miller Andy A,181 N Cr 000 E,Arthur, IL 61911,217-543-2669
Miller Bus Service,801 E Mill St,Arthur, IL 61911,217-543-2911,,Category:,Buses Charter &Amp; Rental Service
Miller Farm,1643B Cr 2400n,Arthur, IL 61911,217-543-3799,,Category:,Farms
Miller Farm,1643A Cr 2400n,Arthur, IL 61911,217-543-3799,,Category:,Farms
Miller Lester O,196 E Cr 500 N,Arthur, IL 61911,217-543-2444
Miller Merle & Marlene,725 N Cr 125 E,Arthur, IL 61911,217-578-3418,,Category:,Cosmetics Retail
Miller Simon A,559 N Cr 100 E,Arthur, IL 61911,217-543-5190
Miller's Harness & Repair,431 N Cr 100 E,Arthur, IL 61911,217-543-3238,,Category:,Horse Tack &Amp; Supplies
Miller's Harness & Repair,431 N Co Rd 100 E,Arthur, IL 61911,217-543-3238,,Category:,Leather Clothing
Miller's Harness & Repair,431 N County Road 100 E,Arthur, IL 61911,217-543-3238,,Category:,Horse Services &Amp; Equipment
Miller's Sharpening,137 E Cr 600 N,Arthur, IL 61911,217-543-3229,,Category:,Sharpening Service
Miller's Storage Buildings,1955 Cr 1700e,Arthur, IL 61911,217-543-3206,,Category:,Portable Buildings
Miller's Storage Buildings,1616 State Highway 133,Arthur, IL 61911,217-543-3206,,Category:,Storage Self Service
Millrich Outdoors,1059 E Columbia St,Arthur, IL 61911,217-460-0593,,Category:,Archery Equipment &Amp; Supplies
Moultrie County Hardwoods LLC,1618 Cr 2000n,Arthur, IL 61911,217-543-2643,,Category:,Government Offices
